LATITUDE,LONGITUDE
40.7886133,-73.8112164
40.7581268,-73.9285028
40.749868,-73.862726
40.77666333333333,-73.98201233333333
40.63532075,-73.91405234735782
40.7064468,-73.7923663
40.7286478,-73.9857026
40.893729538461535,-73.85707215384616
40.659608250000005,-73.95078183013513
40.7343436,-74.0031007
40.7708284516129,-73.99075741935484
40.7722443,-73.9310559
40.6912513,-73.9831859
40.7082092,-74.01377521772565
40.71285238461539,-73.96607223076923
40.6571779,-74.0073436
40.644041,-73.9874986
40.749478,-73.969159
40.7139602,-73.9230388
40.6440015,-74.0112599
40.67201966666667,-73.93070900000001
40.7239688,-73.9982352
40.770519,-73.9193958
40.8079479,-73.9643022
40.8712832,-73.88644986603978
40.68286388888889,-73.95018355555555
40.57551535,-74.10526369237677
40.7060038,-74.012943
40.7279569,-73.8635025
40.68095945,-73.9845625518569
,
40.678317,-73.9584175
40.6672421,-73.9564843
40.5228316,-74.2345542
40.7230006,-73.9502167
40.6166645,-73.98540142822193
40.7092551,-74.0069986
40.70361825,-74.0103746759674
40.6603247,-73.9399279
40.720946,-73.9464793
,
40.8376602,-73.93886546942511
40.6600527,-73.9532648
40.64298795,-73.99115349450295
40.7697469,-73.99274366213939
40.75242457142857,-74.00590528571429
40.7560929,-73.96603338627261
40.7213405,-73.9977669
40.7954818,-73.9733069
40.5782572,-73.9594472
40.6854117,-73.8587407
40.742274,-73.9829202
40.88445995,-73.90026253652667
46.3144754,11.0480288
40.6998892,-73.9874333
40.7293688,-73.7807493
40.6873726,-73.9180147
40.753594,-73.9873522
,
40.6773601,-73.9590142
40.6801665,-73.8448781
40.6912,-73.9972291
40.756085999999996,-73.96487484637203
40.7477885,-73.9867366
40.648271,-73.949191
40.744837450000006,-73.98816718794112
40.7369201,-73.9969282
40.7119354,-73.94284753485061
40.8615125,-73.9111955
40.741662,-73.9542138
40.704144150000005,-73.91770759237289
40.7587789,-73.9380438
40.7812353,-73.9490728
40.7456276,-73.9805031
40.7836928,-73.9578694
40.67363195,-73.88281385
40.731311,-73.988807
,
40.80684275,-73.91822950115095
40.729372,-73.9842412
40.64942095,-74.013340687778
40.753594,-73.9873522
40.7639012,-73.9149982
40.8614012,-73.9246067
40.73044,-74.00111190679601
40.8553022,-73.8873739
40.618433,-73.9573314
40.867872,-73.899859
40.7544259,-73.834971
40.5405897,-74.1471034025366
40.6681315,-73.7811795
40.7653967,-73.9611344
